FID,FeatId1,Route_Name,Route_Numb,Route_Dire,Bus_Orient,Bus_Stop_I,On_Street,At_Street,Location_O,Location_A,X,Y
569,569,Central 3 West,0, , ,0,Crawford,University, , ,-83.04970654,42.31499229
570,568,Central 3 West,0, , ,0,Crawford,Riverside, , ,-83.05076962,42.31663445
571,567,Ottawa 4,0, , ,0,Transit Terminal,Chatham, , ,-83.04345487,42.31769957
572,566,Ottawa 4,0, , ,0,Giles,Ouellette, , ,-83.03065638,42.30540667
573,565,Ottawa 4,0, , ,0,Giles,Goyeau, , ,-83.02902254,42.30612747
574,564,Ottawa 4,0, , ,0,Giles,McDougall, , ,-83.02648068,42.30717429
575,563,Ottawa 4,0, , ,0,Giles,Howard, , ,-83.0234012,42.30844629
576,562,Ottawa 4,0, , ,0,Giles,Lillian, , ,-83.02228216,42.30886557
577,561,Ottawa 4,0, , ,0,Giles,Marentette, , ,-83.02032855,42.30953488
578,560,Ottawa 4,0, , ,0,Giles,Parent, , ,-83.01862901,42.31012591
579,559,Ottawa 4,0, , ,0,Ottawa,Parent, , ,-83.0166103,42.30826195
580,558,Ottawa 4,0, , ,0,Ottawa,Langlois, , ,-83.0154059,42.30868548
581,557,Ottawa 4,0, , ,0,Ottawa,Pierre, , ,-83.01299891,42.30956145
582,556,Ottawa 4,0, , ,0,Ottawa,Moy, , ,-83.0112383,42.31018469
583,555,Ottawa 4,0, , ,0,Ottawa,Gladstone, , ,-83.00975332,42.31070921
584,554,Ottawa 4,0, , ,0,Ottawa,Lincoln, , ,-83.00876298,42.31105973
585,553,Ottawa 4,0, , ,0,Ottawa,Kildare, , ,-83.0059409,42.31205686
586,552,Ottawa 4,0, , ,0,Ottawa,Walker, , ,-83.00249386,42.31327403
587,551,Ottawa 4,0, , ,0,Seminole,Walker, , ,-82.99937284,42.31047459
588,550,Ottawa 4,0, , ,0,Seminole,St Luke, , ,-82.99645597,42.31146565
589,549,Ottawa 4,0, , ,0,Seminole,Drouillard, , ,-82.99367778,42.31231917
590,548,Ottawa 4,0, , ,0,Seminole,Alexis, , ,-82.99174522,42.31272217
591,547,Ottawa 4,0, , ,0,Seminole,Central, , ,-82.98627791,42.31466798
592,546,Ottawa 4,0, , ,0,Seminole,Westcott, , ,-82.98452454,42.31528917
593,545,Ottawa 4,0, , ,0,Seminole,George, , ,-82.98188177,42.31622775
594,544,Ottawa 4,0, , ,0,Seminole,Rossini, , ,-82.98013559,42.31683482
595,543,Ottawa 4,0, , ,0,Seminole,Francois, , ,-82.97757388,42.31773665
596,542,Ottawa 4,0, , ,0,Pillette,Seminole, , ,-82.97536092,42.31894141
597,541,Ottawa 4,0, , ,0,Pillette,Metcalfe, , ,-82.97647267,42.32070326
598,540,Ottawa 4,0, , ,0,Pillette,South National, , ,-82.97707459,42.32162152
599,539,Ottawa 4,0, , ,0,Pillette,Ontario, , ,-82.97886197,42.3243949
600,538,Ottawa 4,0, , ,0,Pillette,Wyandotte, , ,-82.98002806,42.32619254
601,537,Ottawa 4,0, , ,0,Jefferson,Ontario, , ,-82.96276287,42.32755848
602,536,Ottawa 4,0, , ,0,Jefferson,Raymond, , ,-82.96141512,42.32541204
603,535,Ottawa 4,0, , ,0,Jefferson,Edgar, , ,-82.96023313,42.32353168
604,534,Ottawa 4,0, , ,0,South National,Jefferson, , ,-82.95819389,42.31960462
605,533,Ottawa 4,0, , ,0,South National,Balfour, , ,-82.9606938,42.31989868
606,532,Ottawa 4,0, , ,0,South National,Ferndale, , ,-82.96431543,42.32025605
607,531,Ottawa 4,0, , ,0,Ford,South National, , ,-82.96801797,42.32028289
608,530,Ottawa 4,0, , ,0,Ford,Reginald, , ,-82.96684253,42.31842849
609,529,Ottawa 4,0, , ,0,Ford,Lassaline, , ,-82.96501619,42.31554942
610,528,Ottawa 4,0, , ,0,Ford,Coronation, , ,-82.9635355,42.31322614
611,527,Ottawa 4,0, , ,0,Ford,Empress, , ,-82.96177384,42.31044602
612,526,Ottawa 4,0, , ,0,Rivard,Joinville, , ,-82.95442208,42.3026953
613,525,Ottawa 4,0, , ,0,Rivard,Haig, , ,-82.95423215,42.30088619
614,524,Ottawa 4,0, , ,0,Rivard,Grand, , ,-82.95281176,42.29810174
615,523,Ottawa 4,0, , ,0,Rivard,Ambassador Church, , ,-82.95367942,42.29479798
616,522,Ottawa 4,0, , ,0,Rivard,Queen Elizabeth, , ,-82.95270125,42.293267
617,521,Ottawa 4,0, , ,0,Queen Elizabeth,Clarence, , ,-82.95040672,42.29372702
618,520,Ottawa 4,0, , ,0,Queen Elizabeth,Harmony, , ,-82.94794484,42.29430377
619,519,Ottawa 4,0, , ,0,Queen Elizabeth,Clemenceau, , ,-82.94556915,42.2951089
620,518,Ottawa 4,0, , ,0,Clemenceau,Roosevelt, , ,-82.94664941,42.29767454
621,517,Ottawa 4,0, , ,0,Clemenceau,Grand, , ,-82.94803335,42.2998671
622,516,Ottawa 4,0, , ,0,Clemenceau,Haig, , ,-82.94935464,42.30195117
623,515,Ottawa 4,0, , ,0,Clemenceau,Joinville, , ,-82.95059204,42.30396607
624,514,Ottawa 4,0, , ,0,Clemenceau,Rose, , ,-82.95158909,42.30550613
625,513,Ottawa 4,0, , ,0,Tecumseh Mall,Rear Entrance, , ,-82.936192,42.31600357
626,512,Ottawa 4,0, , ,0,Lauzon,Yolanda, , ,-82.93130916,42.3131383
627,511,Ottawa 4,0, , ,0,Lauzon,Hawthorne, , ,-82.92966106,42.3105769
628,510,Ottawa 4,0, , ,0,Hawthorne,Sycamore, , ,-82.93177966,42.30981471
629,509,Ottawa 4,0, , ,0,Meadowbrook,Hawthorne, , ,-82.93389868,42.30901372
630,508,Ottawa 4,0, , ,0,Meadowbrook,Parkside Estates, , ,-82.93263677,42.30703336
631,507,Ottawa 4,0, , ,0,Meadowbrook,Optimist Park, , ,-82.93097131,42.3047847
632,506,Ottawa 4,0, , ,0,Meadowbrook,Essex Way, , ,-82.93010074,42.30276401
633,505,Ottawa 4,0, , ,0,Essex Way,Meadowbrook, , ,-82.92996596,42.30167041
634,504,Ottawa 4,0, , ,0,Cantelon,Kew, , ,-82.93626045,42.30274319
635,503,Ottawa 4,0, , ,0,Cantelon,Lauzon, , ,-82.93315817,42.30380574
636,502,Ottawa 4,0, , ,0,Forest Glade,Lauzon Pkwy, , ,-82.92648141,42.29759338
637,501,Ottawa 4,0, , ,0,Forest Glade,Lauzon, , ,-82.92207417,42.29990438
638,500,Ottawa 4,0, , ,0,Beachdale,Chestnut, , ,-82.92015544,42.3067083
639,499,Ottawa 4,0, , ,0,Esplanade,Beachdale, , ,-82.92404455,42.30633509
640,498,Ottawa 4,0, , ,0,Esplanade,Ridge, , ,-82.92471222,42.30771215
641,497,Ottawa 4,0, , ,0,Esplanade,Lilac, , ,-82.92567805,42.30923635
642,496,Ottawa 4,0, , ,0,Lilac,Lauzon, , ,-82.92806641,42.30873262
643,495,Ottawa 4,0, , ,0,Lauzon,Hawthorne, , ,-82.92928595,42.31029026
644,494,Ottawa 4,0, , ,0,Lauzon,Yolanda, , ,-82.93050807,42.31226927
645,493,Ottawa 4,0, , ,0,Tecumseh Mall,Rear Entrance, , ,-82.93645008,42.3161288
646,492,Ottawa 4,0, , ,0,Clemenceau,Rose, , ,-82.95170358,42.30546984
647,491,Ottawa 4,0, , ,0,Clemenceau,Joinville, , ,-82.95092029,42.3042298
648,490,Ottawa 4,0, , ,0,Clemenceau,Haig, , ,-82.94940188,42.30180568
649,489,Ottawa 4,0, , ,0,Clemenceau,Grand, , ,-82.94802155,42.29962975
650,488,Ottawa 4,0, , ,0,Clemenceau,Roosevelt, , ,-82.94662994,42.29734872
651,487,Ottawa 4,0, , ,0,Clemenceau,Queen Elizabeth, , ,-82.94538833,42.295398
652,486,Ottawa 4,0, , ,0,Queen Elizabeth,Harmony, , ,-82.9463503,42.29496802
653,485,Ottawa 4,0, , ,0,Queen Elizabeth,Grandview, , ,-82.947655,42.29450375
654,484,Ottawa 4,0, , ,0,Queen Elizabeth,Wachna, , ,-82.94901907,42.29421675
655,483,Ottawa 4,0, , ,0,Queen Elizabeth,Clarence, , ,-82.95080334,42.29369756
656,482,Ottawa 4,0, , ,0,Queen Elizabeth,Rivard, , ,-82.95223157,42.29318779
657,481,Ottawa 4,0, , ,0,Rivard,Library, , ,-82.95355301,42.29546598
658,480,Ottawa 4,0, , ,0,Rivard,Grand, , ,-82.95267159,42.29768888
659,479,Ottawa 4,0, , ,0,Rivard,Haig, , ,-82.95401679,42.30125967
660,478,Ottawa 4,0, , ,0,Rivard,Joinville, , ,-82.95442488,42.30298437
661,477,Ottawa 4,0, , ,0,Rivard,Rose, , ,-82.95533462,42.30440317
662,476,Ottawa 4,0, , ,0,Ford,Empress, , ,-82.96189233,42.31085911
663,475,Ottawa 4,0, , ,0,Ford,Coronation, , ,-82.96323573,42.31296889
664,474,Ottawa 4,0, , ,0,Ford,Lassaline, , ,-82.96510274,42.31593552
665,473,Ottawa 4,0, , ,0,Ford,Reginald, , ,-82.9667137,42.31848039
666,472,Ottawa 4,0, , ,0,Ford,South National, , ,-82.96788956,42.3203533
667,471,Ottawa 4,0, , ,0,South National,Ferndale, , ,-82.96356466,42.32005846
668,470,Ottawa 4,0, , ,0,South National,Balfour, , ,-82.95991885,42.31968533
669,469,Ottawa 4,0, , ,0,Jefferson,South National, , ,-82.95799007,42.32026539
670,468,Ottawa 4,0, , ,0,Jefferson,Edgar, , ,-82.96034994,42.32401987
671,467,Ottawa 4,0, , ,0,Jefferson,Raymond, , ,-82.96154809,42.32594139
672,466,Ottawa 4,0, , ,0,Jefferson,Ontario, , ,-82.96289481,42.32806377
673,465,Ottawa 4,0, , ,0,Pillette,Wyandotte, , ,-82.97997378,42.32586647
674,464,Ottawa 4,0, , ,0,Pillette,Ontario, , ,-82.97864352,42.32382895
675,463,Ottawa 4,0, , ,0,Pillette,South National, , ,-82.97745582,42.32194171
676,462,Ottawa 4,0, , ,0,Pillette,Metcalfe, , ,-82.97649664,42.32043147
677,461,Ottawa 4,0, , ,0,Seminole,Pillette, , ,-82.97569224,42.31855166
678,460,Ottawa 4,0, , ,0,Seminole,Francois, , ,-82.97781185,42.31782188
679,459,Ottawa 4,0, , ,0,Seminole,Bernard, , ,-82.97955485,42.3172009
680,458,Ottawa 4,0, , ,0,Seminole,Rossini, , ,-82.9807542,42.31677743
681,457,Ottawa 4,0, , ,0,Seminole,George, , ,-82.98276353,42.31607121
682,456,Ottawa 4,0, , ,0,Seminole,Central, , ,-82.98633546,42.31481678
683,455,Ottawa 4,0, , ,0,Seminole,Alexis, , ,-82.99182623,42.31286493
684,454,Ottawa 4,0, , ,0,Seminole,Drouillard, , ,-82.99385751,42.31248086
685,453,Ottawa 4,0, , ,0,Seminole,Albert, , ,-82.99631581,42.31172714
686,452,Ottawa 4,0, , ,0,Seminole,Walker, , ,-82.99897193,42.31077883
687,451,Ottawa 4,0, , ,0,Ottawa,Monmouth, , ,-83.00274375,42.31337132
688,450,Ottawa 4,0, , ,0,Ottawa,Argyle, , ,-83.00447408,42.31275529
689,449,Ottawa 4,0, , ,0,Ottawa,Kildare, , ,-83.0061068,42.31217861
690,448,Ottawa 4,0, , ,0,Ottawa,Lincoln, , ,-83.00935571,42.31100235
691,447,Ottawa 4,0, , ,0,Ottawa,Gladstone, , ,-83.01045235,42.31060659
692,446,Ottawa 4,0, , ,0,Ottawa,Hall, , ,-83.01254039,42.30986397
693,445,Ottawa 4,0, , ,0,Ottawa,Benjamin, , ,-83.01459463,42.30915998
694,444,Ottawa 4,0, , ,0,Parent,Ottawa, , ,-83.01711909,42.30850255
695,443,Ottawa 4,0, , ,0,Giles,Elsmere, , ,-83.01942599,42.31012419
696,442,Ottawa 4,0, , ,0,Giles,Louis, , ,-83.02190402,42.3092332
697,441,Ottawa 4,0, , ,0,Giles,Howard, , ,-83.02408654,42.30844866
698,440,Ottawa 4,0, , ,0,Giles,McDougall, , ,-83.02661692,42.30736252
699,439,Ottawa 4,0, , ,0,Giles,Windsor, , ,-83.02854954,42.30656203
700,438,Ottawa 4,0, , ,0,Giles,Ouellette, , ,-83.0309968,42.30552194
701,437,Ottawa 4-PM,0, , ,0,Walker,Ontario, , ,-83.00314567,42.31592353
702,436,Ottawa 4-PM,0, , ,0,Walker,Ontario, , ,-83.00354861,42.31625378
703,435,Dominion 5,0, , ,0,Transit Terminal,Chatham, , ,-83.04347415,42.31779139
704,434,Dominion 5,0, , ,0,Riverside,Caron, , ,-83.04856611,42.31775139
705,433,Dominion 5,0, , ,0,Riverside,Oak, , ,-83.0528845,42.31704253
706,432,Dominion 5,0, , ,0,Riverside,McKay, , ,-83.05749672,42.3157166
707,431,Dominion 5,0, , ,0,Campbell,Riverside, , ,-83.06063065,42.31427335
708,430,Dominion 5,0, , ,0,Campbell,University, , ,-83.05872008,42.31126599
709,429,Dominion 5,0, , ,0,Campbell,Wyandotte, , ,-83.05595766,42.30696348
710,428,Dominion 5,0, , ,0,Campbell,Rooney, , ,-83.05442075,42.30458638
711,427,Dominion 5,0, , ,0,Campbell,College, , ,-83.05365576,42.30333402
712,426,Dominion 5,0, , ,0,Campbell,Adanac, , ,-83.05222345,42.30114201
713,425,Dominion 5,0, , ,0,Campbell,Grove, , ,-83.05128263,42.29966606
714,424,Dominion 5,0, , ,0,Campbell,Taylor, , ,-83.0505631,42.29804134
715,423,Dominion 5,0, , ,0,Campbell,Pelletier, , ,-83.04990309,42.29702889
716,422,Dominion 5,0, , ,0,Campbell,Tecumseh, , ,-83.04809344,42.29504137
717,421,Dominion 5,0, , ,0,Campbell,Mark, , ,-83.04679325,42.29440991
718,420,Dominion 5,0, , ,0,Campbell,Curry, , ,-83.04294698,42.2926207
719,419,Dominion 5,0, , ,0,Dominion,Totten, , ,-83.04064874,42.29128552
720,418,Dominion 5,0, , ,0,Dominion,Arcadia, , ,-83.03874586,42.28834099
721,417,Dominion 5,0, , ,0,Dominion,McKay, , ,-83.03700502,42.28565175
722,416,Dominion 5,0, , ,0,Dominion,Ojibway, , ,-83.03449037,42.28170863
723,415,Dominion 5,0, , ,0,Dominion,Holy Names Access, , ,-83.03285239,42.27921573
724,414,Dominion 5,0, , ,0,Dominion,Northwood, , ,-83.03167417,42.27727204
725,413,Dominion 5,0, , ,0,Dominion,EC Row, , ,-83.02922111,42.27339729
726,412,Dominion 5,0, , ,0,Dominion,Labelle, , ,-83.02783085,42.27130585
727,411,Dominion 5,0, , ,0,Dominion,Grand Marais, , ,-83.02584332,42.2681637
728,410,Dominion 5,0, , ,0,Dominion,Norfolk, , ,-83.02351518,42.26499835
729,409,Dominion 5,0, , ,0,Dominion,Richardie, , ,-83.02101955,42.26132854
730,408,Dominion 5,0, , ,0,Dominion,Beals, , ,-83.01965766,42.2592562
731,407,Dominion 5,0, , ,0,Dominion,Roselawn, , ,-83.01826367,42.25707455
732,406,Dominion 5,0, , ,0,Dominion,Cabana, , ,-83.01743283,42.2548845
733,405,Dominion 5,0, , ,0,Mount Royal,Cabana, , ,-83.01615871,42.25288994
734,404,Dominion 5,0, , ,0,Mount Royal,Villa Maria N, , ,-83.01474546,42.25066411
735,403,Dominion 5,0, , ,0,Mount Royal,Villa Maria S, , ,-83.0134386,42.24860903
736,402,Dominion 5,0, , ,0,Mount Royal,Mitchell, , ,-83.01124391,42.24513117
737,401,Dominion 5,0, , ,0,Mount Royal,Cousineau, , ,-83.0100688,42.2432415
738,400,Dominion 5,0, , ,0,Cousineau,Huron Line, , ,-83.01419376,42.24229578
739,399,Dominion 5,0, , ,0,St Clair,Front Entrance, , ,-83.01796575,42.2460404
740,398,Dominion 5,0, , ,0,Geraedts,St Clair Residence, , ,-83.02116048,42.2485956
741,397,Dominion 5,0, , ,0,Glenwood,Cabana, , ,-83.02218089,42.25423933
742,396,Dominion 5,0, , ,0,Glenwood,Beals, , ,-83.02434385,42.2576679
743,395,Dominion 5,0, , ,0,Beals,Charlevoix, , ,-83.02644769,42.2572977
744,394,Dominion 5,0, , ,0,Rankin,Liberty, , ,-83.0291221,42.25887834
745,393,Dominion 5,0, , ,0,Norfolk,Rankin, , ,-83.03174101,42.2618878
746,392,Dominion 5,0, , ,0,Norfolk,California, , ,-83.03478663,42.26081138
747,391,Dominion 5,0, , ,0,California,Grand Marais, , ,-83.03676051,42.26357453
748,390,Dominion 5,0, , ,0,Grand Marais,Northway, , ,-83.03966976,42.26283643
749,389,Dominion 5,0, , ,0,Labelle,Northway, , ,-83.04152465,42.2662928
750,388,Dominion 5,0, , ,0,Labelle,California, , ,-83.03857794,42.2671835
751,387,Dominion 5,0, , ,0,Labelle,St Patricks, , ,-83.03669669,42.26786421
752,386,Dominion 5,0, , ,0,Labelle,Partington, , ,-83.03434565,42.26869782
753,385,Dominion 5,0, , ,0,Labelle,Mark, , ,-83.03184261,42.26958518
754,384,Dominion 5,0, , ,0,Labelle,Curry, , ,-83.03007204,42.27019988
755,383,Dominion 5,0, , ,0,Labelle,Dominion, , ,-83.02785558,42.27098783
756,382,Dominion 5,0, , ,0,Dominion,EC Row, , ,-83.02951328,42.27434714
757,381,Dominion 5,0, , ,0,Dominion,Northwood, , ,-83.03149466,42.2773925
758,380,Dominion 5,0, , ,0,Dominion,Holy Names Access, , ,-83.03264916,42.27916132
759,379,Dominion 5,0, , ,0,Dominion,Ojibway, , ,-83.03464143,42.28224665
760,378,Dominion 5,0, , ,0,Dominion,McKay, , ,-83.0366571,42.2853779
761,377,Dominion 5,0, , ,0,Dominion,Arcadia, , ,-83.03861096,42.28840811
762,376,Dominion 5,0, , ,0,Campbell,Totten, , ,-83.04145928,42.29208626
763,375,Dominion 5,0, , ,0,Campbell,Curry, , ,-83.04364895,42.29310572
764,374,Dominion 5,0, , ,0,Campbell,Tecumseh, , ,-83.04805849,42.29519731
765,373,Dominion 5,0, , ,0,Campbell,Pelletier, , ,-83.04973299,42.29702853
766,372,Dominion 5,0, , ,0,Campbell,Taylor, , ,-83.05044319,42.29823843
767,371,Dominion 5,0, , ,0,Campbell,Grove, , ,-83.05108953,42.29964066
768,370,Dominion 5,0, , ,0,Campbell,Adanac, , ,-83.05215479,42.30131474
769,369,Dominion 5,0, , ,0,Campbell,College, , ,-83.05345896,42.30335383
770,368,Dominion 5,0, , ,0,Campbell,Rooney, , ,-83.05455988,42.30506406
771,367,Dominion 5,0, , ,0,Campbell,Wyandotte, , ,-83.05589733,42.30716408
772,366,Dominion 5,0, , ,0,Campbell,University, , ,-83.05904967,42.31207699
773,365,Dominion 5,0, , ,0,Campbell,Riverside, , ,-83.06055915,42.31439367
774,364,Dominion 5,0, , ,0,Riverside,McKay, , ,-83.05697119,42.31571907
775,363,Dominion 5,0, , ,0,Riverside,Oak, , ,-83.05224458,42.31704984
776,362,Dougall 6,0, , ,0,Transit Terminal,Chatham, , ,-83.04339111,42.3176095
777,361,Dougall 6,0, , ,0,Janette,Park, , ,-83.04545644,42.31477675
778,360,Dougall 6,0, , ,0,Janette,Wyandotte, , ,-83.04337434,42.31155044
779,359,Dougall 6,0, , ,0,Erie,Church, , ,-83.03788471,42.30747131
780,358,Dougall 6,0, , ,0,Dougall,Pine, , ,-83.03527602,42.30598622
781,357,Dougall 6,0, , ,0,Dougall,Giles, , ,-83.03432824,42.30447475
782,356,Dougall 6,0, , ,0,Dougall,Montrose, , ,-83.03327535,42.30285473
783,355,Dougall 6,0, , ,0,Dougall,Ellis, , ,-83.03208116,42.30101228
784,354,Dougall 6,0, , ,0,Dougall,Shepherd, , ,-83.03097826,42.29933024
785,353,Dougall 6,0, , ,0,Dougall,Hanna, , ,-83.02932574,42.29675587
786,352,Dougall 6,0, , ,0,Dougall,Tecumseh, , ,-83.02847137,42.29540715
787,351,Dougall 6,0, , ,0,Dougall,Wear, , ,-83.02740976,42.29381508
788,350,Dougall 6,0, , ,0,Dougall,Jackson, , ,-83.02623995,42.29195224
789,349,Dougall 6,0, , ,0,Dougall,Value Village, , ,-83.02476973,42.28960974
790,348,Dougall 6,0, , ,0,Dougall,Dorwin Plaza, , ,-83.02373967,42.28797137
791,347,Dougall 6,0, , ,0,Dougall,Dougall Plaza, , ,-83.02289506,42.28669134
792,346,Dougall 6,0, , ,0,Eugenie,Dougall, , ,-83.02122513,42.28534663
793,345,Dougall 6,0, , ,0,Eugenie,Ouellette, , ,-83.01937075,42.28596399
794,344,Dougall 6,0, , ,0,Dougall,South Cameron, , ,-83.01714364,42.27765761
795,343,Dougall 6,0, , ,0,Dougall,West Grand, , ,-83.01403437,42.27290148
796,342,Dougall 6,0, , ,0,Dougall,Nottingham, , ,-83.01223965,42.27008626
797,341,Dougall 6,0, , ,0,Dougall,Norfolk, , ,-83.01102224,42.26817669
798,340,Dougall 6,0, , ,0,Dougall,Liberty, , ,-83.0094451,42.2657344
799,339,Dougall 6,0, , ,0,Dougall,Beals, , ,-83.00786916,42.26330758
800,338,Dougall 6,0, , ,0,Dougall,Medina, , ,-83.00662833,42.26134421
801,337,Dougall 6,0, , ,0,Dougall,Granada, , ,-83.00569036,42.25993418
802,336,Dougall 6,0, , ,0,Cabana,Dougall, , ,-83.00236284,42.25739116
803,335,Dougall 6,0, , ,0,Cabana,Huntington, , ,-82.99963219,42.25792564
804,334,Dougall 6,0, , ,0,Howard,Cabana, , ,-82.99583999,42.25795108
805,333,Dougall 6,0, , ,0,Howard,Morand, , ,-82.99584098,42.25635732
806,332,Dougall 6,0, , ,0,Howard,Ducharme, , ,-82.99589453,42.25528192
807,331,Dougall 6,0, , ,0,Howard,Wallace, , ,-82.99608362,42.25266711
808,330,Dougall 6,0, , ,0,Howard,Neal, , ,-82.99651433,42.24595435
809,329,Dougall 6,0, , ,0,Country Club,Howard, , ,-82.9975265,42.24091567
810,328,Dougall 6,0, , ,0,Country Club,Rodfam, , ,-82.99935777,42.24074579
811,327,Dougall 6,0, , ,0,Country Club,Club House, , ,-83.00025548,42.24142831
812,326,Dougall 6,0, , ,0,Country Club,Hunt Club, , ,-83.00025086,42.2427025
813,325,Dougall 6,0, , ,0,Country Club,Golfcourse, , ,-83.0002397,42.24365401
814,324,Dougall 6,0, , ,0,Cousineau,Casgrain, , ,-83.0068384,42.24363962
815,323,Dougall 6,0, , ,0,Cousineau,Mount Royal, , ,-83.00967349,42.24313282
816,322,Dougall 6,0, , ,0,Cousineau,Kendleton, , ,-83.01299371,42.24244543
817,321,Dougall 6,0, , ,0,Cousineau,Mount Royal, , ,-83.0100124,42.24295284
818,320,Dougall 6,0, , ,0,Cousineau,Casgrain, , ,-83.00628945,42.24361504
819,319,Dougall 6,0, , ,0,Cousineau,Country Club, , ,-83.00300161,42.24423527
820,318,Dougall 6,0, , ,0,Country Club,Cherry Hill, , ,-83.00036042,42.24358855
821,317,Dougall 6,0, , ,0,Country Club,Hunt Club, , ,-83.00041759,42.24231208
822,316,Dougall 6,0, , ,0,Country Club,Shadetree, , ,-82.99915462,42.24059468
823,315,Dougall 6,0, , ,0,Country Club,Wembley, , ,-82.99777325,42.24077154
824,314,Dougall 6,0, , ,0,Howard,Pioneer, , ,-82.99642095,42.24315232
825,313,Dougall 6,0, , ,0,Howard,North Talbot, , ,-82.99622638,42.24627914
826,312,Dougall 6,0, , ,0,Howard,Scofield, , ,-82.99587549,42.25338438
827,311,Dougall 6,0, , ,0,Howard,Ducharme, , ,-82.9957848,42.25522723
828,310,Dougall 6,0, , ,0,Howard,Morand, , ,-82.99570162,42.25671544
829,309,Dougall 6,0, , ,0,Cabana,Howard, , ,-82.99629335,42.25870495
830,308,Dougall 6,0, , ,0,Cabana,Huntington, , ,-83.00010197,42.25796681
831,307,Dougall 6,0, , ,0,Cabana,Dougall, , ,-83.00352307,42.2573681
832,306,Dougall 6,0, , ,0,Dougall,Granada, , ,-83.00551529,42.26003108
833,305,Dougall 6,0, , ,0,Dougall,Medina, , ,-83.00678187,42.26199988
834,304,Dougall 6,0, , ,0,Dougall,Beals, , ,-83.00808107,42.26403798
835,303,Dougall 6,0, , ,0,Dougall,Liberty, , ,-83.0098867,42.26695175
836,302,Dougall 6,0, , ,0,Dougall,Nottingham, , ,-83.01179907,42.26998961
837,301,Dougall 6,0, , ,0,Dougall,West Grand, , ,-83.01426174,42.27379828
838,300,Dougall 6,0, , ,0,Dougall,South Cameron, , ,-83.01716858,42.27836992
839,299,Dougall 6,0, , ,0,Eugenie,Pelissier, , ,-83.02062433,42.28575067
840,298,Dougall 6,0, , ,0,Dougall,Rose Bowl, , ,-83.02262448,42.28675306
841,297,Dougall 6,0, , ,0,Dougall,Dougall Square, , ,-83.02389597,42.28876318
842,296,Dougall 6,0, , ,0,Dougall,Superstore Gas Station, , ,-83.02464614,42.28980162
843,295,Dougall 6,0, , ,0,Dougall,Jackson, , ,-83.02580612,42.29159259
844,294,Dougall 6,0, , ,0,Dougall,Wear, , ,-83.02724227,42.29379663
845,293,Dougall 6,0, , ,0,Tecumseh,Church, , ,-83.02991173,42.29564727
846,292,Dougall 6,0, , ,0,Bruce,Tecumseh, , ,-83.03156092,42.29557644
847,291,Dougall 6,0, , ,0,Bruce,Hanna, , ,-83.03264771,42.29725602
848,290,Dougall 6,0, , ,0,Bruce,Shepherd, , ,-83.0336244,42.29877559
849,289,Dougall 6,0, , ,0,Bruce,Clinton, , ,-83.03514879,42.30114717
850,288,Dougall 6,0, , ,0,Bruce,Giles, , ,-83.0367496,42.30366213
851,287,Dougall 6,0, , ,0,Bruce,Pine, , ,-83.03794015,42.30550207
852,286,Dougall 6,0, , ,0,Bruce,Erie, , ,-83.0388909,42.30695638
853,285,Dougall 6,0, , ,0,Bruce,Wyandotte, , ,-83.04212922,42.31195327
854,284,Dougall 6,0, , ,0,Bruce,Park, , ,-83.04400761,42.31483866
855,283,Dougall 6,0, , ,0,Bruce,University, , ,-83.04475379,42.31601158
856,282,South Windsor 7,0, , ,0,College Ave,Community Centre, , ,-83.07118059,42.29601575
857,281,South Windsor 7,0, , ,0,Matchette,Chappell, , ,-83.06868537,42.28329564
858,280,South Windsor 7,0, , ,0,Matchette,Carmichael, , ,-83.0694903,42.28131485
859,279,South Windsor 7,0, , ,0,Matchette,Broadway, , ,-83.07341042,42.26896337
860,278,South Windsor 7,0, , ,0,Matchette,Titcombe, , ,-83.07430136,42.26396341
861,277,South Windsor 7,0, , ,0,Matchette,Sprucewood, , ,-83.07619609,42.25303937
